Biosample	GTExTissue	nVariantsOverlappingEnhancers	nVariantsGTExTissue	nCommonVariantsOverlappingEnhancers	nCommonVariants	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	method	distance_min	distance_max	tissue.biosample	pred_name_long	hex	count	cat	pairs
BMMC22_B1_B	B	0	155	11569	9746610	0	0	NA	Inf	1	SnapATAC	0	10	B.BMMC22_B1_B	SnapATAC (p-value)	#5e5948	21-1042 variants	0-10 Kb	24-63 biosample pairs
BMMC22_CD4_pos_T_activated	Tfh	0	134	9973	9746610	0	0	NA	Inf	1	SnapATAC	0	10	Tfh.BMMC22_CD4_pos_T_activated	SnapATAC (p-value)	#5e5948	21-1042 variants	0-10 Kb	24-63 biosample pairs
BMMC22_CD4_pos_T_activated	Treg	0	286	9973	9746610	0	0	NA	Inf	1	SnapATAC	0	10	Treg.BMMC22_CD4_pos_T_activated	SnapATAC (p-value)	#5e5948	21-1042 variants	0-10 Kb	24-63 biosample pairs
BMMC22_CD4_pos_T_activated	T	0	118	9973	9746610	0	0	NA	Inf	1	SnapATAC	0	10	T.BMMC22_CD4_pos_T_activated	SnapATAC (p-value)	#5e5948	21-1042 variants	0-10 Kb	24-63 biosample pairs
BMMC22_CD4_pos_T_naive	Tfh	0	134	8572	9746610	0	0	NA	Inf	1	SnapATAC	0	10	Tfh.BMMC22_CD4_pos_T_naive	SnapATAC (p-value)	#5e5948	21-1042 variants	0-10 Kb	24-63 biosample pairs
BMMC22_CD4_pos_T_naive	Treg	0	286	8572	9746610	0	0	NA	Inf	1	SnapATAC	0	10	Treg.BMMC22_CD4_pos_T_naive	SnapATAC (p-value)	#5e5948	21-1042 variants	0-10 Kb	24-63 biosample pairs
BMMC22_CD4_pos_T_naive	T	0	118	8572	9746610	0	0	NA	Inf	1	SnapATAC	0	10	T.BMMC22_CD4_pos_T_naive	SnapATAC (p-value)	#5e5948	21-1042 variants	0-10 Kb	24-63 biosample pairs
BMMC22_CD4_pos_T_naive	T_CD4_pos_naive	0	26	8572	9746610	0	0	NA	Inf	1	SnapATAC	0	10	T_CD4_pos_naive.BMMC22_CD4_pos_T_naive	SnapATAC (p-value)	#5e5948	21-1042 variants	0-10 Kb	24-63 biosample pairs
BMMC22_CD8_pos_T	T_CD8_pos	0	249	6106	9746610	0	0	NA	Inf	1	SnapATAC	0	10	T_CD8_pos.BMMC22_CD8_pos_T	SnapATAC (p-value)	#5e5948	21-1042 variants	0-10 Kb	24-63 biosample pairs
BMMC22_CD8_pos_T	T	0	118	6106	9746610	0	0	NA	Inf	1	SnapATAC	0	10	T.BMMC22_CD8_pos_T	SnapATAC (p-value)	#5e5948	21-1042 variants	0-10 Kb	24-63 biosample pairs
BMMC22_CD8_pos_T_naive	T	0	118	22825	9746610	0	0	NA	Inf	1	SnapATAC	0	10	T.BMMC22_CD8_pos_T_naive	SnapATAC (p-value)	#5e5948	21-1042 variants	0-10 Kb	24-63 biosample pairs
BMMC22_G_M_prog	iPSC	0	226	8047	9746610	0	0	NA	Inf	1	SnapATAC	0	10	iPSC.BMMC22_G_M_prog	SnapATAC (p-value)	#5e5948	21-1042 variants	0-10 Kb	24-63 biosample pairs
BMMC22_G_M_prog	neutrophil	0	297	8047	9746610	0	0	NA	Inf	1	SnapATAC	0	10	neutrophil.BMMC22_G_M_prog	SnapATAC (p-value)	#5e5948	21-1042 variants	0-10 Kb	24-63 biosample pairs
